datestamp,centre_name,purchasing_power_quantile,estimated_actual_footfall,estimated_actual_footfall_rolling,indexed_signal,indexed_signal_rolling,source
2019-02-14,Met Office - Bradford,0,665889,593673,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-02-15,Met Office - Bradford,0,526092,555639,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-02-16,Met Office - Bradford,0,542935,531730,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-02-17,Met Office - Bradford,0,585078,554578,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-02-18,Met Office - Bradford,0,693438,593050,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-02-19,Met Office - Bradford,0,691896,589272,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-02-20,Met Office - Bradford,0,625205,575261,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-02-21,Met Office - Bradford,0,651160,599990,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-02-22,Met Office - Bradford,0,585079,566551,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-02-23,Met Office - Bradford,0,575862,547061,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-02-24,Met Office - Bradford,0,586309,579745,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-02-25,Met Office - Bradford,0,614656,611038,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-02-26,Met Office - Bradford,0,704951,619950,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-02-27,Met Office - Bradford,0,722395,601091,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-02-28,Met Office - Bradford,0,721797,625900,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-03-01,Met Office - Bradford,0,786667,622206,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
