area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through
Lister Park,daily,09/12/2025,18955.31,18955.31,5133.233513,5133.233513,13822.07649,13822.07649
Lister Park,daily,08/12/2025,100405.13,100405.13,27190.42728,27190.42728,73214.70272,73214.70272
Lister Park,weekly,08/12/2025,217550.52,31078.65,63801.72401,9114.533259,153748.796,21964.11674
Lister Park,daily,07/12/2025,59962.76,59962.76,21308.43223,21308.43223,38654.32777,38654.32777
Lister Park,daily,06/12/2025,25872.79,25872.79,9194.183061,9194.183061,16678.60694,16678.60694
Lister Park,daily,05/12/2025,47058.76,47058.76,12743.84876,12743.84876,34314.91124,34314.91124
Lister Park,daily,04/12/2025,36960.18,36960.18,10009.08108,10009.08108,26951.09892,26951.09892
Lister Park,daily,03/12/2025,20018.63,20018.63,5421.188174,5421.188174,14597.44183,14597.44183
Lister Park,daily,02/12/2025,23259.29,23259.29,6298.782078,6298.782078,16960.50792,16960.50792
Lister Park,daily,01/12/2025,48350.87,48350.87,13093.76139,13093.76139,35257.10861,35257.10861
Lister Park,weekly,01/12/2025,223493.81,31927.69,65544.73133,9363.533885,157949.0787,22564.15611
Lister Park,monthly,01/12/2025,997064.69,32163.38,292412.292,9432.655431,704652.398,22730.72457
Lister Park,daily,30/11/2025,19550.85,19550.85,6947.611522,6947.611522,12603.23848,12603.23848
Lister Park,daily,29/11/2025,27222.44,27222.44,9673.796167,9673.796167,17548.64383,17548.64383
Lister Park,daily,28/11/2025,55421.42,55421.42,15008.5169,15008.5169,40412.9031,40412.9031
Lister Park,daily,27/11/2025,17925.81,17925.81,4854.43755,4854.43755,13071.37245,13071.37245
Lister Park,daily,26/11/2025,16281.57,16281.57,4409.165599,4409.165599,11872.4044,11872.4044
Lister Park,daily,25/11/2025,16894.65,16894.65,4575.192047,4575.192047,12319.45795,12319.45795
Lister Park,daily,24/11/2025,27451.94,27451.94,7434.181683,7434.181683,20017.75832,20017.75832
Lister Park,weekly,24/11/2025,199371.34,28481.62,58470.25882,8352.894117,140901.0812,20128.72588
Lister Park,daily,23/11/2025,24564.9,24564.9,8729.409835,8729.409835,15835.49017,15835.49017
Lister Park,daily,22/11/2025,43079.76,43079.76,15308.87081,15308.87081,27770.88919,27770.88919
Lister Park,daily,21/11/2025,58330.48,58330.48,15796.31115,15796.31115,42534.16885,42534.16885
Lister Park,daily,20/11/2025,24168.7,24168.7,6545.05681,6545.05681,17623.64319,17623.64319
Lister Park,daily,19/11/2025,17091.83,17091.83,4628.589802,4628.589802,12463.2402,12463.2402
Lister Park,daily,18/11/2025,46049.96,46049.96,12470.65851,12470.65851,33579.30149,33579.30149
Lister Park,daily,17/11/2025,32000.54,32000.54,8665.975094,8665.975094,23334.56491,23334.56491
Lister Park,weekly,17/11/2025,219540.63,31362.95,64385.36982,9197.910812,155155.2602,22165.03919
Lister Park,daily,16/11/2025,25188.73,25188.73,8951.094748,8951.094748,16237.63525,16237.63525
Lister Park,daily,15/11/2025,31919.68,31919.68,11343.01253,11343.01253,20576.66747,20576.66747
Lister Park,daily,14/11/2025,18029.45,18029.45,4882.504003,4882.504003,13146.946,13146.946
Lister Park,daily,13/11/2025,43197.94,43197.94,11698.3111,11698.3111,31499.6289,31499.6289
Lister Park,daily,12/11/2025,16428.78,16428.78,4449.03112,4449.03112,11979.74888,11979.74888
Lister Park,daily,11/11/2025,17604.06,17604.06,4767.305349,4767.305349,12836.75465,12836.75465
Lister Park,daily,10/11/2025,22934.33,22934.33,6210.780586,6210.780586,16723.54941,16723.54941
Lister Park,weekly,10/11/2025,199121.83,28445.98,58397.08424,8342.441862,140724.7458,20103.53814
Lister Park,daily,09/11/2025,24146.19,24146.19,8580.616589,8580.616589,15565.57341,15565.57341
Lister Park,daily,08/11/2025,18682.97,18682.97,6639.200732,6639.200732,12043.76927,12043.76927
Lister Park,daily,07/11/2025,28350.2,28350.2,7677.436915,7677.436915,20672.76308,20672.76308
Lister Park,daily,06/11/2025,32228.49,32228.49,8727.705584,8727.705584,23500.78442,23500.78442
Lister Park,daily,05/11/2025,15638.36,15638.36,4234.979731,4234.979731,11403.38027,11403.38027
Lister Park,daily,04/11/2025,19346.23,19346.23,5239.097445,5239.097445,14107.13256,14107.13256
Lister Park,daily,03/11/2025,17510.41,17510.41,4741.944259,4741.944259,12768.46574,12768.46574
Lister Park,weekly,03/11/2025,194455.01,27779.29,57028.43128,8146.919593,137426.5787,19632.37041
Lister Park,daily,02/11/2025,32366.18,32366.18,11501.68126,11501.68126,20864.49874,20864.49874
Lister Park,daily,01/11/2025,32402.26,32402.26,11514.50269,11514.50269,20887.75731,20887.75731
Lister Park,monthly,01/11/2025,874248.65,29141.62,256393.6463,8546.454389,617855.0037,20595.16561
Lister Park,daily,31/10/2025,18195.17,18195.17,4927.382165,4927.382165,13267.78784,13267.78784
Lister Park,daily,30/10/2025,46138.76,46138.76,12494.70618,12494.70618,33644.05382,33644.05382
Lister Park,daily,29/10/2025,30219.27,30219.27,8183.594439,8183.594439,22035.67556,22035.67556
Lister Park,daily,28/10/2025,17409.66,17409.66,4714.660439,4714.660439,12694.99956,12694.99956
Lister Park,daily,27/10/2025,23567.91,23567.91,6382.358581,6382.358581,17185.55142,17185.55142
Lister Park,weekly,27/10/2025,208106.9,29729.56,61032.16393,8718.881399,147074.7361,21010.6786
Lister Park,daily,26/10/2025,56663.71,56663.71,20136.0782,20136.0782,36527.6318,36527.6318
Lister Park,daily,25/10/2025,81488.36,81488.36,28957.79308,28957.79308,52530.56692,52530.56692
Lister Park,daily,24/10/2025,19932.43,19932.43,5397.844597,5397.844597,14534.5854,14534.5854
Lister Park,daily,23/10/2025,39577.27,39577.27,10717.80777,10717.80777,28859.46223,28859.46223
Lister Park,daily,22/10/2025,66076.19,66076.19,17893.90482,17893.90482,48182.28518,48182.28518
Lister Park,daily,21/10/2025,27315.74,27315.74,7397.297749,7397.297749,19918.44225,19918.44225
Lister Park,daily,20/10/2025,52967.11,52967.11,14343.8722,14343.8722,38623.2378,38623.2378
Lister Park,weekly,20/10/2025,250337.02,35762.43,73417.1238,10488.16012,176919.8962,25274.26988
Lister Park,daily,19/10/2025,52456.49,52456.49,18640.99588,18640.99588,33815.49412,33815.49412
Lister Park,daily,18/10/2025,23422.16,23422.16,8323.324494,8323.324494,15098.83551,15098.83551
Lister Park,daily,17/10/2025,48884.91,48884.91,13238.38324,13238.38324,35646.52676,35646.52676
Lister Park,daily,16/10/2025,34016.25,34016.25,9211.843778,9211.843778,24804.40622,24804.40622
Lister Park,daily,15/10/2025,51403.64,51403.64,13920.47334,13920.47334,37483.16666,37483.16666
Lister Park,daily,14/10/2025,62902.05,62902.05,17034.325,17034.325,45867.725,45867.725
Lister Park,daily,13/10/2025,99857.2,99857.2,27042.04392,27042.04392,72815.15608,72815.15608
Lister Park,weekly,13/10/2025,257828.09,36832.58,75614.05342,10802.00637,182214.0366,26030.57363
Lister Park,daily,12/10/2025,72041.38,72041.38,25600.70389,25600.70389,46440.67611,46440.67611
Lister Park,daily,11/10/2025,15527.75,15527.75,5517.958288,5517.958288,10009.79171,10009.79171
Lister Park,daily,10/10/2025,29435.46,29435.46,7971.333085,7971.333085,21464.12692,21464.12692
Lister Park,daily,09/10/2025,41574.29,41574.29,11258.61506,11258.61506,30315.67494,30315.67494
Lister Park,daily,08/10/2025,17220.61,17220.61,4663.464347,4663.464347,12557.14565,12557.14565
Lister Park,daily,07/10/2025,32508.92,32508.92,8803.648034,8803.648034,23705.27197,23705.27197
Lister Park,daily,06/10/2025,12714.63,12714.63,3443.212737,3443.212737,9271.417263,9271.417263
Lister Park,weekly,06/10/2025,210152.39,30021.77,61632.0512,8804.578743,148520.3388,21217.19126
Lister Park,daily,05/10/2025,45257.27,45257.27,16082.67316,16082.67316,29174.59684,29174.59684
Lister Park,daily,04/10/2025,26472.57,26472.57,9407.32154,9407.32154,17065.24846,17065.24846
Lister Park,daily,03/10/2025,42700.17,42700.17,11563.51142,11563.51142,31136.65858,31136.65858
Lister Park,daily,02/10/2025,30123.18,30123.18,8157.572579,8157.572579,21965.60742,21965.60742
Lister Park,daily,01/10/2025,49392.44,49392.44,13375.826,13375.826,36016.614,36016.614
Lister Park,monthly,01/10/2025,1025495.05,33080.49,300750.1529,9701.61916,724744.8971,23378.87084
Lister Park,daily,30/09/2025,15803.83,15803.83,4279.79019,4279.79019,11524.03981,11524.03981
Lister Park,daily,29/09/2025,13306.58,13306.58,3603.51703,3603.51703,9703.06297,9703.06297
Lister Park,weekly,29/09/2025,210596.63,30085.23,61762.33486,8823.189856,148834.2951,21262.04014
Lister Park,daily,28/09/2025,18760.27,18760.27,6666.670145,6666.670145,12093.59986,12093.59986
Lister Park,daily,27/09/2025,37862.09,37862.09,13454.71387,13454.71387,24407.37613,24407.37613
Lister Park,daily,26/09/2025,22303.25,22303.25,6039.879609,6039.879609,16263.37039,16263.37039
Lister Park,daily,25/09/2025,27565.06,27565.06,7464.815388,7464.815388,20100.24461,20100.24461
Lister Park,daily,24/09/2025,13837.57,13837.57,3747.31292,3747.31292,10090.25708,10090.25708
Lister Park,daily,23/09/2025,29670.34,29670.34,8034.940269,8034.940269,21635.39973,21635.39973
Lister Park,daily,22/09/2025,28665.62,28665.62,7762.854907,7762.854907,20902.76509,20902.76509
Lister Park,weekly,22/09/2025,197681.61,28240.23,57974.7064,8282.100914,139706.9036,19958.12909
Lister Park,daily,21/09/2025,43024.47,43024.47,15289.2229,15289.2229,27735.2471,27735.2471
Lister Park,daily,20/09/2025,55459.06,55459.06,19707.99245,19707.99245,35751.06755,35751.06755
Lister Park,daily,19/09/2025,26082.61,26082.61,7063.357326,7063.357326,19019.25267,19019.25267
