area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through,,Event took place
BD WALL - Wayfinders,daily,10/02/2019,21481.1,21481.1,2662.6474416662627,2662.6474416662627,18818.452558333738,18818.452558333738,,
BD WALL - Wayfinders,daily,11/02/2019,43286.67,43286.67,10718.620528738003,10718.620528738003,32568.049471261995,32568.049471261995,,
BD WALL - Wayfinders,weekly,11/02/2019,209271,29895.86,44835.75168639694,6405.107995906203,164435.24831360308,23490.752,,
BD WALL - Wayfinders,daily,12/02/2019,14029.02,14029.02,3473.857928320105,3473.857928320105,10555.162071679895,10555.162071679895,,
BD WALL - Wayfinders,daily,13/02/2019,21643.33,21643.33,5359.309026271855,5359.309026271855,16284.020973728146,16284.020973728146,,
BD WALL - Wayfinders,daily,14/02/2019,18419.06,18419.06,4560.917128438317,4560.917128438317,13858.142871561684,13858.142871561684,,
BD WALL - Wayfinders,daily,15/02/2019,61828.82,61828.82,15310.017132748879,15310.017132748879,46518.80286725112,46518.80286725112,,
BD WALL - Wayfinders,daily,16/02/2019,25536.82,25536.82,3165.3662261844997,3165.3662261844997,22371.45377,22371.45377,,
BD WALL - Wayfinders,daily,17/02/2019,15924.94,15924.94,1973.944572190844,1973.944572190844,13950.995427809157,13950.995427809157,,
BD WALL - Wayfinders,daily,18/02/2019,80370.98,80370.98,19901.416212954045,19901.416212954045,60469.56378704595,60469.56378704595,,
BD WALL - Wayfinders,weekly,18/02/2019,210811.21,30115.89,45165.73755689455,6452.248834548718,165645.47244310545,23663.64116545128,,
BD WALL - Wayfinders,daily,19/02/2019,25765.87,25765.87,6380.1300290088075,6380.1300290088075,19385.73997099119,19385.73997099119,,
BD WALL - Wayfinders,daily,20/02/2019,18438.86,18438.86,4565.8199931416775,4565.8199931416775,13873.040006858324,13873.040006858324,,
BD WALL - Wayfinders,daily,21/02/2019,16908.85,16908.85,4186.959789869527,4186.959789869527,12721.89021013047,12721.89021013047,,
BD WALL - Wayfinders,daily,22/02/2019,21496.37,21496.37,5322.918874918024,5322.918874918024,16173.451125081976,16173.451125081976,,
BD WALL - Wayfinders,daily,23/02/2019,21481.1,21481.1,2662.6474416662627,2662.6474416662627,18818.452558333738,18818.452558333738,,
BD WALL - Wayfinders,daily,24/02/2019,19310.1,19310.1,2393.5454126334175,2393.5454126334175,16916.554587366583,16916.554587366583,,
BD WALL - Wayfinders,daily,25/02/2019,44240.82,44240.82,10954.886607359791,10954.886607359791,33285.93339264021,33285.93339264021,,
BD WALL - Wayfinders,weekly,25/02/2019,188556.78,26936.68,40397.78548803502,5771.1116004412215,148158.9945,21165.56839955878,,
BD WALL - Wayfinders,daily,26/02/2019,15359.56,15359.56,3803.3254839973392,3803.3254839973392,11556.23451600266,11556.23451600266,,
BD WALL - Wayfinders,daily,27/02/2019,15486.04,15486.04,3834.6443894357753,3834.6443894357753,11651.395610564225,11651.395610564225,,
BD WALL - Wayfinders,daily,28/02/2019,15062.58,15062.58,3729.7874658355213,3729.7874658355213,11332.792534164479,11332.792534164479,,
BD WALL - Wayfinders,daily,01/03/2019,6258.97,6258.97,1549.842580423842,1549.842580423842,4709.127419576158,4709.127419576158,,
BD WALL - Wayfinders,monthly,01/03/2019,864322.5,27881.37,185178.7824732802,5973.508904705177,679143.7175267198,21907.861095294822,,
BD WALL - Wayfinders,daily,02/03/2019,24159.97,24159.97,2994.7014962564144,2994.7014962564144,21165.268503743588,21165.268503743588,,
BD WALL - Wayfinders,daily,03/03/2019,17751.54,17751.54,2200.357177548465,2200.357177548465,15551.182822451536,15551.182822451536,,
BD WALL - Wayfinders,daily,04/03/2019,17011.18,17011.18,4212.298686086441,4212.298686086441,12798.88131391356,12798.88131391356,,
BD WALL - Wayfinders,weekly,04/03/2019,187387.57,26769.65,40147.28537464496,5735.325869956927,147240.28462535507,21034.324130043075,,
BD WALL - Wayfinders,daily,05/03/2019,10239.7,10239.7,2535.5486718686966,2535.5486718686966,7704.151328131305,7704.151328131305,,
BD WALL - Wayfinders,daily,06/03/2019,20739.16,20739.16,5135.418966734611,5135.418966734611,15603.741033265389,15603.741033265389,,
BD WALL - Wayfinders,daily,07/03/2019,10674.78,10674.78,2643.282933239306,2643.282933239306,8031.497066760694,8031.497066760694,,
BD WALL - Wayfinders,daily,08/03/2019,21643.33,21643.33,5359.309026271855,5359.309026271855,16284.020973728146,16284.020973728146,,
BD WALL - Wayfinders,daily,09/03/2019,49607.41,49607.41,6148.988800582345,6148.988800582345,43458.42119941766,43458.42119941766,,
BD WALL - Wayfinders,daily,10/03/2019,15928.13,15928.13,1974.3399823578704,1974.3399823578704,13953.79001764213,13953.79001764213,,
BD WALL - Wayfinders,daily,11/03/2019,22545.14,22545.14,5582.614703955567,5582.614703955567,16962.525296044434,16962.525296044434,,
BD WALL - Wayfinders,weekly,11/03/2019,195852,27978.86,41960.766849129664,5994.395876296591,153891.23315087034,21984.464123703412,,
BD WALL - Wayfinders,daily,12/03/2019,21643.33,21643.33,5359.309026271855,5359.309026271855,16284.020973728146,16284.020973728146,,
BD WALL - Wayfinders,daily,13/03/2019,53564.94,53564.94,13263.719882001076,13263.719882001076,40301.22011799893,40301.22011799893,,
BD WALL - Wayfinders,daily,14/03/2019,22545.14,22545.14,5582.614703955567,5582.614703955567,16962.525296044434,16962.525296044434,,
BD WALL - Wayfinders,daily,15/03/2019,16954.61,16954.61,4198.290854961739,4198.290854961739,12756.319145038262,12756.319145038262,,
BD WALL - Wayfinders,daily,16/03/2019,19807.39,19807.39,2455.1860151289234,2455.1860151289234,17352.203984871077,17352.203984871077,,
BD WALL - Wayfinders,daily,17/03/2019,19910.62,19910.62,2467.9816864587533,2467.9816864587533,17442.638313541247,17442.638313541247,,
BD WALL - Wayfinders,daily,18/03/2019,26373.41,26373.41,6530.568737184546,6530.568737184546,19842.841262815455,19842.841262815455,,
BD WALL - Wayfinders,weekly,18/03/2019,194533.17,27790.45,41678.21105116162,5954.029538030735,152854.9589488384,21836.42046196927,,
BD WALL - Wayfinders,daily,19/03/2019,15821.49,15821.49,3917.708327049021,3917.708327049021,11903.78167295098,11903.78167295098,,
BD WALL - Wayfinders,daily,20/03/2019,19948.97,19948.97,4939.75257,4939.75257,15009.217430232482,15009.217430232482,,
BD WALL - Wayfinders,daily,21/03/2019,16037.75,16037.75,3971.2585048646138,3971.2585048646138,12066.491495135386,12066.491495135386,,
BD WALL - Wayfinders,daily,22/03/2019,23562.89,23562.89,5834.629378291179,5834.629378291179,17728.26062170882,17728.26062170882,,
BD WALL - Wayfinders,daily,23/03/2019,27054.17,27054.17,3353.446356886014,3353.446356886014,23700.723643113986,23700.723643113986,,
BD WALL - Wayfinders,daily,24/03/2019,49189.39,49189.39,6097.173954807904,6097.173954807904,43092.21605,43092.21605,,
BD WALL - Wayfinders,daily,25/03/2019,54108.33,54108.33,13398.273803776785,13398.273803776785,40710.05619622322,40710.05619622322,,
