area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through,
Baildon,daily,24/02/2019,2821.11,2821.11,1813.445853,1813.445853,1007.664147,1007.664147,
Baildon,daily,25/02/2019,18036.11,18036.11,11593.84387,11593.84387,6442.266129,6442.266129,
Baildon,daily,25/02/2019,17454.3,17454.3,11219.84891,11219.84891,6234.451092,6234.451092,
Baildon,daily,26/02/2019,11292.07,11292.07,7258.688074,7258.688074,4033.381926,4033.381926,
Baildon,daily,27/02/2019,24594.7,24594.7,21505.34683,21505.34683,3089.353166,3089.353166,
Baildon,daily,28/02/2019,5759.47,5759.47,5036.019953,5036.019953,723.4500473,723.4500473,
Baildon,daily,01/03/2019,21762.86,21762.86,13989.44678,13989.44678,7773.413216,7773.413216,
Baildon,daily,01/03/2019,22568.89,22568.89,14507.57325,14507.57325,8061.316748,8061.316748,
Baildon,daily,02/03/2019,21012.42,21012.42,13507.05428,13507.05428,7505.365716,7505.365716,
Baildon,daily,03/03/2019,14737.2,14737.2,9473.262023,9473.262023,5263.937977,5263.937977,
Baildon,daily,04/03/2019,27698.19,27698.19,17804.75337,17804.75337,9893.436626,9893.436626,
Baildon,daily,04/03/2019,10746.01,10746.01,9396.198048,9396.198048,1349.811952,1349.811952,
Baildon,daily,05/03/2019,9319.23,9319.23,8148.636632,8148.636632,1170.593368,1170.593368,
Baildon,daily,06/03/2019,12057.07,12057.07,7750.43993,7750.43993,4306.63007,4306.63007,
Baildon,daily,07/03/2019,2821.11,2821.11,1813.445853,1813.445853,1007.664147,1007.664147,
Baildon,daily,08/03/2019,4881.07,4881.07,3137.61468,3137.61468,1743.45532,1743.45532,
Baildon,daily,09/03/2019,24585.66,24585.66,15803.97899,15803.97899,8781.681009,8781.681009,
Baildon,daily,10/03/2019,11292.07,11292.07,7258.688074,7258.688074,4033.381926,4033.381926,
Baildon,daily,11/03/2019,10228.9,10228.9,8944.042506,8944.042506,1284.857494,1284.857494,
Baildon,daily,11/03/2019,6634.1,6634.1,5800.78722,5800.78722,833.3127803,833.3127803,
Baildon,daily,12/03/2019,9042.8,9042.8,5812.828341,5812.828341,3229.971659,3229.971659,
Baildon,daily,13/03/2019,2821.11,2821.11,1813.445853,1813.445853,1007.664147,1007.664147,
Baildon,daily,14/03/2019,4881.07,4881.07,3137.61468,3137.61468,1743.45532,1743.45532,
Baildon,daily,15/03/2019,7368.6,7368.6,4736.631011,4736.631011,2631.968989,2631.968989,
Baildon,daily,16/03/2019,24594.7,24594.7,15809.79002,15809.79002,8784.909981,8784.909981,
Baildon,daily,17/03/2019,10228.9,10228.9,8944.042506,8944.042506,1284.857494,1284.857494,
Baildon,daily,18/03/2019,12766.35,12766.35,11162.76208,11162.76208,1603.587919,1603.587919,
Baildon,daily,18/03/2019,5661.03,5661.03,3638.983016,3638.983016,2022.046984,2022.046984,
Baildon,daily,19/03/2019,5526.53,5526.53,3552.524684,3552.524684,1974.005316,1974.005316,
Baildon,daily,20/03/2019,7699.21,7699.21,4949.151379,4949.151379,2750.058621,2750.058621,
Baildon,daily,21/03/2019,5255,5255,3377.981701,3377.981701,1877.018299,1877.018299,
Baildon,daily,22/03/2019,12322.7,12322.7,7921.190316,7921.190316,4401.509684,4401.509684,
Baildon,daily,23/03/2019,17454.3,17454.3,15261.85622,15261.85622,2192.443777,2192.443777,
Baildon,daily,24/03/2019,13176.27,13176.27,11521.19181,11521.19181,1655.078185,1655.078185,
Baildon,daily,25/03/2019,23525.36,23525.36,15122.40449,15122.40449,8402.955509,8402.955509,
Baildon,daily,25/03/2019,5526.53,5526.53,3552.524684,3552.524684,1974.005316,1974.005316,
Baildon,daily,26/03/2019,7860.25,7860.25,5052.669965,5052.669965,2807.580035,2807.580035,
Baildon,daily,27/03/2019,5405.46,5405.46,3474.699328,3474.699328,1930.760672,1930.760672,
Baildon,daily,28/03/2019,9242.03,9242.03,5940.895951,5940.895951,3301.134049,3301.134049,
Baildon,daily,29/03/2019,19324.4,19324.4,16897.05198,16897.05198,2427.348019,2427.348019,
Baildon,daily,30/03/2019,28478.07,28478.07,24900.92469,24900.92469,3577.145308,3577.145308,
Baildon,daily,31/03/2019,9483.66,9483.66,6096.218828,6096.218828,3387.441172,3387.441172,
Baildon,daily,01/04/2019,2705.42,2705.42,1739.078831,1739.078831,966.3411694,966.3411694,
Baildon,daily,01/04/2019,5233.69,5233.69,3364.283359,3364.283359,1869.406641,1869.406641,
Baildon,daily,01/04/2019,5405.46,5405.46,3474.699328,3474.699328,1930.760672,1930.760672,
Baildon,daily,02/04/2019,9161.52,9161.52,5889.143086,5889.143086,3272.376914,3272.376914,
Baildon,daily,03/04/2019,19407.43,19407.43,16969.65254,16969.65254,2437.777461,2437.777461,
Baildon,daily,04/04/2019,26352.53,26352.53,23042.37489,23042.37489,3310.155114,3310.155114,
Baildon,daily,05/04/2019,11435.94,11435.94,7351.169564,7351.169564,4084.770436,4084.770436,
Baildon,daily,06/04/2019,4661.7,4661.7,2996.600818,2996.600818,1665.099182,1665.099182,
Baildon,daily,07/04/2019,5233.69,5233.69,3364.283359,3364.283359,1869.406641,1869.406641,
Baildon,daily,08/04/2019,3835.26,3835.26,2465.354539,2465.354539,1369.905461,1369.905461,
Baildon,daily,08/04/2019,21643.33,21643.33,13912.61136,13912.61136,7730.71864,7730.71864,
Baildon,daily,09/04/2019,20040.12,20040.12,17522.87002,17522.87002,2517.249984,2517.249984,
Baildon,daily,10/04/2019,47050.72,47050.72,41140.65438,41140.65438,5910.065616,5910.065616,
Baildon,daily,11/04/2019,15247.92,15247.92,9801.559419,9801.559419,5446.360581,5446.360581,
Baildon,daily,12/04/2019,21643.33,21643.33,13912.61136,13912.61136,7730.71864,7730.71864,
Baildon,daily,13/04/2019,22545.14,22545.14,14492.30645,14492.30645,8052.833554,8052.833554,
Baildon,daily,14/04/2019,3835.26,3835.26,2465.354539,2465.354539,1369.905461,1369.905461,
Baildon,daily,15/04/2019,10165.81,10165.81,6534.713637,6534.713637,3631.096363,3631.096363,
Baildon,daily,15/04/2019,20810.9,20810.9,18196.83194,18196.83194,2614.068064,2614.068064,
Baildon,daily,16/04/2019,27054.17,27054.17,23655.88152,23655.88152,3398.288483,3398.288483,
Baildon,daily,17/04/2019,12578.38,12578.38,8085.544714,8085.544714,4492.835286,4492.835286,
Baildon,daily,18/04/2019,8470.12,8470.12,5444.702259,5444.702259,3025.417741,3025.417741,
Baildon,daily,19/04/2019,19324.4,19324.4,12421.97328,12421.97328,6902.426719,6902.426719,
Baildon,daily,20/04/2019,18658.05,18658.05,11993.63492,11993.63492,6664.415084,6664.415084,
Baildon,daily,21/04/2019,15248.71,15248.71,9802.067241,9802.067241,5446.642759,5446.642759,
Baildon,daily,22/04/2019,35072.54,35072.54,30667.05986,30667.05986,4405.480144,4405.480144,
Baildon,daily,22/04/2019,22545.14,22545.14,19713.23314,19713.23314,2831.90686,2831.90686,
Baildon,daily,23/04/2019,54108.33,54108.33,34781.53161,34781.53161,19326.79839,19326.79839,
Baildon,daily,24/04/2019,12705.18,12705.18,8167.053388,8167.053388,4538.126612,4538.126612,
Baildon,daily,25/04/2019,17877.41,17877.41,11491.82947,11491.82947,6385.580533,6385.580533,
Baildon,daily,26/04/2019,5975.28,5975.28,3840.986965,3840.986965,2134.293035,2134.293035,
Baildon,daily,27/04/2019,27054.17,27054.17,17390.76902,17390.76902,9663.400979,9663.400979,
Baildon,daily,28/04/2019,17352.63,17352.63,15172.95704,15172.95704,2179.672955,2179.672955,
Baildon,daily,29/04/2019,47668.21,47668.21,41680.58114,41680.58114,5987.628858,5987.628858,
Baildon,daily,29/04/2019,18036.11,18036.11,11593.84387,11593.84387,6442.266129,6442.266129,
Baildon,daily,30/04/2019,15650.29,15650.29,10060.20804,10060.20804,5590.081962,5590.081962,
Baildon,daily,01/05/2019,11918.27,11918.27,7661.217502,7661.217502,4257.052498,4257.052498,
Baildon,daily,01/05/2019,12024.07,12024.07,7729.227105,7729.227105,4294.842895,4294.842895,
Baildon,daily,02/05/2019,12297.35,12297.35,7904.89501,7904.89501,4392.45499,4392.45499,
Baildon,daily,03/05/2019,14574.44,14574.44,12743.73695,12743.73695,1830.703052,1830.703052,
Baildon,daily,04/05/2019,15459.52,15459.52,13517.64158,13517.64158,1941.878415,1941.878415,
Baildon,daily,05/05/2019,11512.41,11512.41,7400.325465,7400.325465,4112.084535,4112.084535,
Baildon,daily,06/05/2019,13527.08,13527.08,8695.381297,8695.381297,4831.698703,4831.698703,
Baildon,daily,06/05/2019,23525.36,23525.36,15122.40449,15122.40449,8402.955509,8402.955509,
Baildon,daily,07/05/2019,7967.04,7967.04,5121.315953,5121.315953,2845.724047,2845.724047,
Baildon,daily,08/05/2019,13493.85,13493.85,8674.020624,8674.020624,4819.829376,4819.829376,
Baildon,daily,09/05/2019,13527.08,13527.08,11827.93639,11827.93639,1699.143613,1699.143613,
Baildon,daily,10/05/2019,16969.39,16969.39,14837.85602,14837.85602,2131.533978,2131.533978,
Baildon,daily,11/05/2019,15914.22,15914.22,10229.86564,10229.86564,5684.354357,5684.354357,
Baildon,daily,12/05/2019,14623.87,14623.87,9400.412039,9400.412039,5223.457961,5223.457961,
Baildon,daily,13/05/2019,9621.2,9621.2,6184.631312,6184.631312,3436.568688,3436.568688,
Baildon,daily,13/05/2019,5975.28,5975.28,3840.986965,3840.986965,2134.293035,2134.293035,
Baildon,daily,14/05/2019,13429,13429,8632.334209,8632.334209,4796.665791,4796.665791,
Baildon,daily,15/05/2019,11435.8,11435.8,9999.343164,9999.343164,1436.456836,1436.456836,
Baildon,daily,16/05/2019,11614.53,11614.53,10155.6228,10155.6228,1458.907205,1458.907205,
Baildon,daily,17/05/2019,12882.94,12882.94,8281.319806,8281.319806,4601.620194,4601.620194,
Baildon,daily,18/05/2019,13782.7,13782.7,8859.697126,8859.697126,4923.002874,4923.002874,
Baildon,daily,19/05/2019,14431.8,14431.8,9276.946968,9276.946968,5154.853032,5154.853032,
Baildon,daily,20/05/2019,17120.14,17120.14,11005.04655,11005.04655,6115.093445,6115.093445,
Baildon,daily,20/05/2019,14623.87,14623.87,9400.412039,9400.412039,5223.457961,5223.457961,
Baildon,daily,21/05/2019,18036.11,18036.11,15770.58476,15770.58476,2265.525236,2265.525236,
Baildon,daily,22/05/2019,14083.34,14083.34,12314.32428,12314.32428,1769.015724,1769.015724,
Baildon,daily,23/05/2019,16908.85,16908.85,10869.22662,10869.22662,6039.623379,6039.623379,
