area,Category,Group,Value
Darley's street market,Age (Residents),0-14,19.3%
Darley's street market,Age (Residents),15-29,37.0%
Darley's street market,Age (Residents),30-44,29.8%
Darley's street market,Age (Residents),45-59,8.8%
Darley's street market,Age (Residents),60+,5.1%
Darley's street market,Gender (Residents),M,55.2%
Darley's street market,Gender (Residents),F,44.8%
Darley's street market,Population (Residents),Total Population,2119
Darley's street market,Population (Residents),Households,1052
Darley's street market,Population (Residents),Average Household Size,2.01
Darley's street market,Purchasing Power (Residents),EUR per capita,21323.23
Darley's street market,Age (Visitors),15-29,30.3%
Darley's street market,Age (Visitors),30-44,27.9%
Darley's street market,Age (Visitors),45-59,20.9%
Darley's street market,Age (Visitors),60+,20.9%
Darley's street market,Gender (Visitors),Male,50.0%
Darley's street market,Gender (Visitors),Female,50.0%
Darley's street market,Purchasing Power (Visitors),EUR per capita,16298.91
Darley's street market,Purchasing Power Buckets (Visitors),Bucket 7000,8%
Darley's street market,Purchasing Power Buckets (Visitors),Bucket 10500,35%
Darley's street market,Purchasing Power Buckets (Visitors),Bucket 14000,23%
Darley's street market,Purchasing Power Buckets (Visitors),Bucket 17500,18%
Darley's street market,Purchasing Power Buckets (Visitors),Bucket 21000,5%
Darley's street market,Purchasing Power Buckets (Visitors),Bucket 24500,10%
Darley's street market,Purchasing Power Buckets (Visitors),Bucket 28000,0%
