area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through,Event took place
WILD UPLANDS,daily,01/05/2019,1306.29,1306.29,109.825634,109.825634,1196.464366,1196.464366,
WILD UPLANDS,daily,06/05/2019,5818.45,5818.45,2133.929296,2133.929296,3684.520704,3684.520704,
WILD UPLANDS,daily,08/05/2019,8238.74,8238.74,692.6676645,692.6676645,7546.072335,7546.072335,
WILD UPLANDS,daily,10/05/2019,1306.29,1306.29,109.825634,109.825634,1196.464366,1196.464366,
WILD UPLANDS,daily,13/05/2019,5818.45,5818.45,2133.929296,2133.929296,3684.520704,3684.520704,
WILD UPLANDS,daily,15/05/2019,19948.97,19948.97,1677.198996,1677.198996,18271.771,18271.771,
WILD UPLANDS,daily,17/05/2019,1306.29,1306.29,109.825634,109.825634,1196.464366,1196.464366,
WILD UPLANDS,daily,20/05/2019,5818.45,5818.45,2133.929296,2133.929296,3684.520704,3684.520704,
WILD UPLANDS,daily,22/05/2019,7236.86,7236.86,608.4351387,608.4351387,6628.424861,6628.424861,
WILD UPLANDS,daily,24/05/2019,19948.97,19948.97,7316.328492,7316.328492,12632.64151,12632.64151,
WILD UPLANDS,daily,27/05/2019,4305,4305,361.9405754,361.9405754,3943.059425,3943.059425,
WILD UPLANDS,daily,29/05/2019,26598.62,26598.62,9755.102211,9755.102211,16843.51779,16843.51779,
WILD UPLANDS,daily,31/05/2019,14491.01,14491.01,1218.323925,1218.323925,13272.68608,13272.68608,
WILD UPLANDS,daily,01/06/2019,5818.45,5818.45,2133.929296,2133.929296,3684.520704,3684.520704,
WILD UPLANDS,daily,03/06/2019,6186.04,6186.04,520.0880085,520.0880085,5665.951991,5665.951991,
WILD UPLANDS,daily,05/06/2019,5818.45,5818.45,2133.929296,2133.929296,3684.520704,3684.520704,
WILD UPLANDS,daily,07/06/2019,3692.42,3692.42,310.4382391,310.4382391,3381.981761,3381.981761,
WILD UPLANDS,daily,10/06/2019,5818.45,5818.45,2133.929296,2133.929296,3684.520704,3684.520704,
WILD UPLANDS,daily,12/06/2019,1424.93,1424.93,522.5962021,522.5962021,902.3337979,902.3337979,
WILD UPLANDS,daily,14/06/2019,3692.42,3692.42,310.4382391,310.4382391,3381.981761,3381.981761,
WILD UPLANDS,daily,15/06/2019,3708.92,3708.92,1360.254543,1360.254543,2348.665457,2348.665457,
WILD UPLANDS,daily,17/06/2019,1424.93,1424.93,522.5962021,522.5962021,902.3337979,902.3337979,
WILD UPLANDS,daily,19/06/2019,1664.29,1664.29,139.9242927,139.9242927,1524.365707,1524.365707,
WILD UPLANDS,daily,21/06/2019,3692.42,3692.42,310.4382391,310.4382391,3381.981761,3381.981761,
WILD UPLANDS,daily,22/06/2019,1486.21,1486.21,545.0707765,545.0707765,941.1392235,941.1392235,
WILD UPLANDS,daily,24/06/2019,1424.93,1424.93,522.5962021,522.5962021,902.3337979,902.3337979,
WILD UPLANDS,daily,26/06/2019,1664.29,1664.29,139.9242927,139.9242927,1524.365707,1524.365707,
WILD UPLANDS,daily,28/06/2019,15048.35,15048.35,1265.181988,1265.181988,13783.16801,13783.16801,
WILD UPLANDS,daily,29/06/2019,775.56,775.56,65.20479271,65.20479271,710.3552073,710.3552073,
WILD UPLANDS,daily,01/07/2019,1486.21,1486.21,545.0707765,545.0707765,941.1392235,941.1392235,
WILD UPLANDS,daily,01/07/2019,1424.93,1424.93,522.5962021,522.5962021,902.3337979,902.3337979,
WILD UPLANDS,daily,03/07/2019,1664.29,1664.29,139.9242927,139.9242927,1524.365707,1524.365707,
WILD UPLANDS,daily,05/07/2019,1881.04,1881.04,158.1474332,158.1474332,1722.892567,1722.892567,
WILD UPLANDS,daily,06/07/2019,775.56,775.56,65.20479271,65.20479271,710.3552073,710.3552073,
WILD UPLANDS,daily,08/07/2019,1486.21,1486.21,545.0707765,545.0707765,941.1392235,941.1392235,
WILD UPLANDS,daily,10/07/2019,11399.41,11399.41,4180.758614,4180.758614,7218.651386,7218.651386,
WILD UPLANDS,daily,13/07/2019,1664.29,1664.29,139.9242927,139.9242927,1524.365707,1524.365707,
WILD UPLANDS,daily,15/07/2019,1881.04,1881.04,158.1474332,158.1474332,1722.892567,1722.892567,
WILD UPLANDS,daily,17/07/2019,775.56,775.56,65.20479271,65.20479271,710.3552073,710.3552073,
WILD UPLANDS,daily,20/07/2019,3072.74,3072.74,1126.934133,1126.934133,1945.805867,1945.805867,
WILD UPLANDS,daily,22/07/2019,2569.58,2569.58,942.3990996,942.3990996,1627.1809,1627.1809,
WILD UPLANDS,daily,24/07/2019,1092.62,1092.62,91.86144284,91.86144284,1000.758557,1000.758557,
WILD UPLANDS,daily,27/07/2019,13314.31,13314.31,1119.393501,1119.393501,12194.9165,12194.9165,
WILD UPLANDS,daily,29/07/2019,1881.04,1881.04,158.1474332,158.1474332,1722.892567,1722.892567,
WILD UPLANDS,daily,31/07/2019,1415.37,1415.37,118.9964767,118.9964767,1296.373523,1296.373523,
WILD UPLANDS,daily,01/08/2019,8816.92,8816.92,3233.624744,3233.624744,5583.295256,5583.295256,
WILD UPLANDS,daily,03/08/2019,2569.58,2569.58,942.3990996,942.3990996,1627.1809,1627.1809,
WILD UPLANDS,daily,05/08/2019,2846.25,2846.25,239.2969483,239.2969483,2606.953052,2606.953052,
WILD UPLANDS,daily,07/08/2019,1664.29,1664.29,139.9242927,139.9242927,1524.365707,1524.365707,
WILD UPLANDS,daily,10/08/2019,1881.04,1881.04,158.1474332,158.1474332,1722.892567,1722.892567,
WILD UPLANDS,daily,11/08/2019,6204.5,6204.5,521.6400232,521.6400232,5682.859977,5682.859977,
WILD UPLANDS,daily,12/08/2019,6962.21,6962.21,2553.405784,2553.405784,4408.804216,4408.804216,
WILD UPLANDS,daily,14/08/2019,2569.58,2569.58,942.3990996,942.3990996,1627.1809,1627.1809,
WILD UPLANDS,daily,17/08/2019,2846.25,2846.25,239.2969483,239.2969483,2606.953052,2606.953052,
WILD UPLANDS,daily,18/08/2019,1664.29,1664.29,139.9242927,139.9242927,1524.365707,1524.365707,
WILD UPLANDS,daily,19/08/2019,1415.37,1415.37,118.9964767,118.9964767,1296.373523,1296.373523,
WILD UPLANDS,daily,20/08/2019,4641.47,4641.47,1702.2693,1702.2693,2939.2007,2939.2007,
WILD UPLANDS,daily,21/08/2019,2569.58,2569.58,942.3990996,942.3990996,1627.1809,1627.1809,
WILD UPLANDS,daily,24/08/2019,2846.25,2846.25,239.2969483,239.2969483,2606.953052,2606.953052,
WILD UPLANDS,daily,25/08/2019,1664.29,1664.29,139.9242927,139.9242927,1524.365707,1524.365707,
WILD UPLANDS,daily,26/08/2019,1415.37,1415.37,118.9964767,118.9964767,1296.373523,1296.373523,
WILD UPLANDS,daily,27/08/2019,15959.17,15959.17,5853.060593,5853.060593,10106.10941,10106.10941,
WILD UPLANDS,daily,28/08/2019,9157.24,9157.24,3358.43785,3358.43785,5798.80215,5798.80215,
WILD UPLANDS,daily,29/08/2019,8741,8741,734.8949057,734.8949057,8006.105094,8006.105094,
WILD UPLANDS,daily,31/08/2019,1664.29,1664.29,139.9242927,139.9242927,1524.365707,1524.365707,
WILD UPLANDS,daily,01/09/2019,5118.45,5118.45,430.3309496,430.3309496,4688.11905,4688.11905,
WILD UPLANDS,daily,01/09/2019,4094.16,4094.16,1501.542158,1501.542158,2592.617842,2592.617842,
WILD UPLANDS,daily,02/09/2019,1144.65,1144.65,419.8028975,419.8028975,724.8471025,724.8471025,
WILD UPLANDS,daily,03/09/2019,14029.02,14029.02,1179.482362,1179.482362,12849.53764,12849.53764,
WILD UPLANDS,daily,04/09/2019,1415.37,1415.37,118.9964767,118.9964767,1296.373523,1296.373523,
WILD UPLANDS,daily,05/09/2019,2992.05,2992.05,1097.340899,1097.340899,1894.709101,1894.709101,
WILD UPLANDS,daily,07/09/2019,1144.65,1144.65,419.8028975,419.8028975,724.8471025,724.8471025,
WILD UPLANDS,daily,08/09/2019,2846.25,2846.25,239.2969483,239.2969483,2606.953052,2606.953052,
WILD UPLANDS,daily,09/09/2019,639.81,639.81,53.79168398,53.79168398,586.018316,586.018316,
WILD UPLANDS,daily,10/09/2019,2992.05,2992.05,1097.340899,1097.340899,1894.709101,1894.709101,
WILD UPLANDS,daily,11/09/2019,3139.55,3139.55,1151.436847,1151.436847,1988.113153,1988.113153,
WILD UPLANDS,daily,12/09/2019,2846.25,2846.25,239.2969483,239.2969483,2606.953052,2606.953052,
WILD UPLANDS,daily,14/09/2019,1662.41,1662.41,139.7662327,139.7662327,1522.643767,1522.643767,
WILD UPLANDS,daily,15/09/2019,639.81,639.81,53.79168398,53.79168398,586.018316,586.018316,
WILD UPLANDS,daily,16/09/2019,7977.21,7977.21,2925.65926,2925.65926,5051.55074,5051.55074,
WILD UPLANDS,daily,16/09/2019,3139.55,3139.55,1151.436847,1151.436847,1988.113153,1988.113153,
WILD UPLANDS,daily,17/09/2019,2846.25,2846.25,239.2969483,239.2969483,2606.953052,2606.953052,
WILD UPLANDS,daily,18/09/2019,1662.41,1662.41,139.7662327,139.7662327,1522.643767,1522.643767,
WILD UPLANDS,daily,19/09/2019,639.81,639.81,53.79168398,53.79168398,586.018316,586.018316,
WILD UPLANDS,daily,21/09/2019,997.15,997.15,365.7069491,365.7069491,631.4430509,631.4430509,
WILD UPLANDS,daily,22/09/2019,1994.9,1994.9,731.6339495,731.6339495,1263.266051,1263.266051,
WILD UPLANDS,daily,23/09/2019,1753.63,1753.63,147.4355055,147.4355055,1606.194495,1606.194495,
WILD UPLANDS,daily,23/09/2019,1662.41,1662.41,139.7662327,139.7662327,1522.643767,1522.643767,
WILD UPLANDS,daily,24/09/2019,997.15,997.15,365.7069491,365.7069491,631.4430509,631.4430509,
WILD UPLANDS,daily,25/09/2019,1994.9,1994.9,731.6339495,731.6339495,1263.266051,1263.266051,
WILD UPLANDS,daily,26/09/2019,1246.81,1246.81,104.8248847,104.8248847,1141.985115,1141.985115,
WILD UPLANDS,daily,28/09/2019,1662.41,1662.41,139.7662327,139.7662327,1522.643767,1522.643767,
WILD UPLANDS,daily,29/09/2019,586.73,586.73,49.32901133,49.32901133,537.4009887,537.4009887,
WILD UPLANDS,daily,30/09/2019,1620.56,1620.56,594.3439336,594.3439336,1026.216066,1026.216066,
WILD UPLANDS,daily,30/09/2019,15959.17,15959.17,5853.060593,5853.060593,10106.10941,10106.10941,
WILD UPLANDS,daily,01/10/2019,1870.22,1870.22,157.2377475,157.2377475,1712.982253,1712.982253,
WILD UPLANDS,daily,01/10/2019,13299.31,13299.31,1118.132384,1118.132384,12181.17762,12181.17762,
WILD UPLANDS,daily,03/10/2019,712.46,712.46,59.89969392,59.89969392,652.5603061,652.5603061,
WILD UPLANDS,daily,05/10/2019,586.73,586.73,49.32901133,49.32901133,537.4009887,537.4009887,
WILD UPLANDS,daily,06/10/2019,1620.56,1620.56,594.3439336,594.3439336,1026.216066,1026.216066,
WILD UPLANDS,daily,07/10/2019,1994.9,1994.9,731.6339495,731.6339495,1263.266051,1263.266051,
WILD UPLANDS,daily,07/10/2019,322.51,322.51,27.11485597,27.11485597,295.395144,295.395144,
